Pulse,Freq,Inductance,1/L,Load
,,1.5481,0.6459531038,5
,,1.5438,0.6477522995,5
,,1.545,0.6472491909,5
,,1.5425,0.6482982172,5
,,1.545,0.6472491909,5
,,1.5432,0.6480041472,5
,,1.5419,0.6485504897,5
,,1.5487,0.6457028475,5
,,1.5536,0.6436663234,5
,,1.5481,0.6459531038,5
,,1.5462,0.6467468633,5
,,1.5481,0.6459531038,5
,,1.5549,0.6431281754,5
,,1.545,0.6472491909,5
,,1.545,0.6472491909,5
,,1.5475,0.6462035541,5
,,1.5462,0.6467468633,5
,,1.5518,0.6444129398,5
,,1.7893,0.5588777734,7.5
,,1.5872,0.6300403226,7.5
,,1.5984,0.6256256256,7.5
,,1.616,0.6188118812,7.5
,,1.6306,0.6132711885,7.5
,,1.6337,0.6121074861,7.5
,,1.6452,0.6078288354,7.5
,,1.6643,0.6008532116,7.5
,,1.6579,0.6031726883,7.5
,,1.6758,0.59672992,7.5
,,1.6777,0.5960541217,7.5
,,1.6745,0.597193192,7.5
,,1.6771,0.5962673663,7.5
,,1.679,0.5955926147,7.5
,,1.6861,0.5930846332,7.5
,,1.6906,0.5915059742,7.5
,,1.6951,0.589935697,7.5
,,1.6912,0.5912961211,7.5
,,1.6906,0.5915059742,7.5
,,1.7042,0.5867855885,7.5
,,1.7022,0.5874750323,7.5
,,1.7009,0.5879240402,7.5
,,1.71,0.5847953216,7.5
,,1.7009,0.5879240402,7.5
,,1.7061,0.5861321142,7.5
,,1.7113,0.5843510781,7.5
,,1.7074,0.5856858381,7.5
,,1.7106,0.5845902023,7.5
,,1.721,0.5810575247,7.5
,,1.7236,0.5801810165,7.5
,,1.7139,0.5834646129,7.5
,,1.7197,0.5814967727,7.5
,,1.7093,0.5850348096,7.5
,,1.7223,0.5806189398,7.5
,,1.7204,0.5812601721,7.5
,,1.7236,0.5801810165,7.5
,,1.7197,0.5814967727,7.5
,,1.7256,0.5795085767,7.5
,,1.7191,0.5816997266,7.5
,,1.7191,0.5816997266,7.5
,,1.7295,0.5782017924,7.5
,,1.7275,0.5788712012,7.5
,,1.7295,0.5782017924,7.5
,,1.7243,0.5799454851,7.5
,,1.7282,0.5786367319,7.5
,,1.7321,0.5773338722,7.5
,,1.738,0.5753739931,7.5
,,1.7321,0.5773338722,7.5
,,1.7295,0.5782017924,7.5
,,1.7367,0.5758046871,7.5
,,2.1565,0.463714352,10
,,2.0986,0.4765081483,10
,,2.1166,0.4724558254,10
,,2.1303,0.4694174529,10
,,2.1376,0.4678143713,10
,,2.1528,0.4645113341,10
,,2.1565,0.463714352,10
,,2.1761,0.4595377051,10
,,2.1732,0.4601509295,10
,,2.171,0.4606172271,10
,,2.182,0.4582951421,10
,,2.1827,0.4581481651,10
,,2.1864,0.4573728503,10
,,2.2003,0.4544834795,10
,,2.1915,0.4563084645,10
,,2.2025,0.4540295119,10
,,2.207,0.4531037608,10
,,2.2055,0.4534119247,10
,,2.2202,0.450409873,10
,,2.2062,0.4532680627,10
,,2.2099,0.4525091633,10
,,2.2062,0.4532680627,10
,,2.2121,0.4520591293,10
,,2.2158,0.4513042693,10
,,2.2225,0.449943757,10
,,2.2269,0.4490547398,10
,,2.2254,0.4493574189,10
,,2.2232,0.4498020871,10
,,2.2247,0.4494988088,10
,,2.2269,0.4490547398,10
,,2.2217,0.4501057749,10
,,2.2261,0.4492161179,10
,,2.2291,0.4486115473,10
,,2.2298,0.4484707149,10
,,2.2276,0.448913629,10
,,2.2328,0.4478681476,10
,,2.2261,0.4492161179,10
,,2.2313,0.4481692287,10
,,2.2395,0.4465282429,10
,,2.241,0.4462293619,10
,,2.2387,0.4466878099,10
,,2.2395,0.4465282429,10
,,2.2328,0.4478681476,10
,,2.2261,0.4492161179,10
,,2.241,0.4462293619,10
,,2.2387,0.4466878099,10
,,2.2373,0.4469673267,10
,,2.2447,0.4454938299,10
,,2.2439,0.4456526583,10
,,2.2313,0.4481692287,10
